iter	Passed	Remaining
398	773467	195790
399	775457	193864
400	777301	191902
401	779188	189951
402	781019	187987
403	783124	186088
404	785185	184179
405	787138	182243
406	789041	180296
407	790966	178355
408	792869	176408
409	794788	174465
410	796645	172509
411	798491	170551
412	800402	168607
413	802274	166655
414	804210	164717
415	806100	162770
416	808025	160829
417	809943	158888
418	811747	156925
419	813665	154983
420	815575	153041
421	817490	151100
422	819388	149155
423	821292	147212
424	823205	145271
425	825134	143333
426	827058	141394
427	829058	139467
428	831013	137533
429	833174	135633
430	835073	133689
431	837024	131753
432	838907	129807
433	840799	127863
434	842630	125910
435	844607	123979
436	846544	122041
437	848388	120091
438	850219	118139
439	852159	116203
440	854095	114266
441	855913	112314
442	857769	110367
443	859591	108416
444	861493	106476
445	863367	104533
446	865302	102597
447	867264	100664
448	869100	98717
449	871074	96786
450	873075	94857
451	875037	92924
452	877064	90997
453	879394	89101
454	882291	87259
455	884458	85342
456	886480	83410
457	888571	81484
458	890707	79562
459	892553	77613
460	894336	75659
461	896114	73706
462	898127	71772
463	900066	69832
464	901935	67887
465	903776	65940
466	905743	64003
467	907723	62066
468	909565	60120
469	911386	58173
470	913295	56232
471	915204	54291
472	917000	52344
473	918855	50401
474	920769	48461
475	922724	46523
476	924521	44578
477	926457	42640
478	928409	40702
479	930388	38766
480	932295	36826
481	934200	34887
482	936130	32948
483	938070	31010
484	939987	29071
485	941900	27132
486	943821	25194
487	945748	23256
488	947585	21315
489	949418	19375
490	951269	17436
491	953245	15499
492	955188	13562
493	957051	11624
494	958874	9685
495	960814	7748
496	962627	5810
497	964535	3873
498	966513	1936
499	968530	0
